Начальная точка: ( 1 , 1 )
Новая точка: ( 2.38 , 1.82 )
Новая точка: ( 1.78 , 1.4 )
Новая точка: ( 2.5 , 2.26 )
Новая точка: ( -0.24 , 1.54 )
Новая точка: ( 1.1 , 1.8 )
Новая точка: ( -1.74 , 3.32 )
Новая точка: ( 0.54 , 1.72 )
Новая точка: ( -1.88 , 1.64 )
Новая точка: ( -2.1 , 1.38 )
Новая точка: ( -3 , 2.68 )
Новая точка: ( -3.84 , 0.88 )
Новая точка: ( -3.26 , 1.84 )
Новая точка: ( -1.94 , 1.56 )
Новая точка: ( -2.28 , 2.44 )
Новая точка: ( -2.98 , 3.62 )
Новая точка: ( -0.32 , 0.22 )
Новая точка: ( 1.06 , 0.3 )
Новая точка: ( -1.46 , 0.74 )
Новая точка: ( 1.54 , -0.62 )
Новая точка: ( -0.9 , 1.1 )
Новая точка: ( 1.3 , -0.16 )
Новая точка: ( -1.72 , 0.22 )
Новая точка: ( -0.1 , -0.64 )
Новая точка: ( 0.42 , 1 )
Новая точка: ( -2.22045e-16 , -0.68 )
Новая точка: ( 1.86 , -0.2 )
Новая точка: ( 1.84 , 0.52 )
Новая точка: ( -1.7 , -1.94 )
Новая точка: ( -0.3 , -0.6 )
Новая точка: ( -1.24 , -2.38 )
Новая точка: ( -1.44 , -0.12 )
Новая точка: ( -1.68 , -2.5 )
Новая точка: ( 0.72 , 0.7 )
Новая точка: ( 1.82 , -2.58 )
Новая точка: ( 1.08 , -1.66 )
Новая точка: ( 1.04 , -3.66 )
Новая точка: ( 1.28 , -3.28 )
Новая точка: ( 1.8 , 4.44089e-16 )
Новая точка: ( -0.68 , 0.14 )
Новая точка: ( 0.08 , -0.54 )
Новая точка: ( -1.04 , -0.12 )
Новая точка: ( 1.56 , 0.84 )
Новая точка: ( -1.32 , 0.2 )
Новая точка: ( 1.94 , 0.96 )
Новая точка: ( -0.48 , 0.02 )
Новая точка: ( -0.7 , -1.62 )
Новая точка: ( -1.32 , -0.48 )
Новая точка: ( -1.6 , -0.22 )
Новая точка: ( -1.54 , -2.06 )
Новая точка: ( -0.24 , -1.66 )
Новая точка: ( -1.52 , -0.44 )
Новая точка: ( 0.1 , -2.14 )
Новая точка: ( -1.08 , -1.66 )
Новая точка: ( -1.56 , 0.9 )
Новая точка: ( -0.44 , 0.2 )
Новая точка: ( -1.36 , -1.78 )
Новая точка: ( 0.61 , -0.88 )
Новая точка: ( 0.47 , -1.4 )
Новая точка: ( 0.62 , -0.2 )
Новая точка: ( 0.36 , -0.31 )
Новая точка: ( 0.17 , -1.44 )
Новая точка: ( 1.19 , -0.13 )
Новая точка: ( -0.35 , -1.39 )
Новая точка: ( 1.38 , -0.67 )
Новая точка: ( -0.32 , -1.68 )
Новая точка: ( -0.13 , -0.9 )
Новая точка: ( 1.06 , -0.37 )
Новая точка: ( 0.27 , -1.52 )
Новая точка: ( -0.39 , -1.37 )
Новая точка: ( 0.48 , -0.71 )
Новая точка: ( 0.44 , -0.06 )
Новая точка: ( 0.95 , -1.16 )
Новая точка: ( 0.7 , -2.02 )
Новая точка: ( 0.16 , -0.9 )
Новая точка: ( 0.2 , -1.83 )
Новая точка: ( 1.38 , -1.47 )
Новая точка: ( 1.06 , -0.93 )
Новая точка: ( 0.01 , -0.33 )
Новая точка: ( 1.52 , -0.83 )
Новая точка: ( 1.76 , -1.41 )
Новая точка: ( 0.02 , -1.44 )
Новая точка: ( 0.64 , -0.8 )
Новая точка: ( 1.26 , -1.74 )
Новая точка: ( 0.25 , -0.11 )
Новая точка: ( 0.17 , -1.75 )
Новая точка: ( -0.33 , -0.03 )
Новая точка: ( 0.04 , -0.71 )
Новая точка: ( 0.2 , -0.97 )
Новая точка: ( 0.4 , -1.09 )
Новая точка: ( -0.13 , -1.53 )
Новая точка: ( 1.06 , -0.23 )
Новая точка: ( 1.01 , -0.86 )
Новая точка: ( 0.95 , 0.1 )
Новая точка: ( 1.11 , -1.77 )
Новая точка: ( 1.06 , -0.73 )
Новая точка: ( 0.55 , -1.28 )
Новая точка: ( 1.3 , -1.37 )
Новая точка: ( 0.42 , -0.25 )
Новая точка: ( -0.11 , -0.61 )
Новая точка: ( -0.14 , -1.26 )
Новая точка: ( 0.9 , -1.26 )
Новая точка: ( -0.07 , -1.64 )
Новая точка: ( -0.28 , -0.68 )
Новая точка: ( 0.86 , -1.02 )
Новая точка: ( 1.21 , -0.51 )
Новая точка: ( 1.45 , -0.05 )
Новая точка: ( 0.91 , -1.8 )
Новая точка: ( 0.66 , -0.31 )
Новая точка: ( 0.64 , -0.85 )
Новая точка: ( 1.52 , -0.42 )
Новая точка: ( 0.975 , -1.175 )
Новая точка: ( 0.44 , -1.145 )
Новая точка: ( 0.515 , -0.54 )
Новая точка: ( 1.165 , -0.83 )
Новая точка: ( 0.505 , -0.82 )
Новая точка: ( 0.395 , -1.125 )
Новая точка: ( 1.065 , -1.165 )
Новая точка: ( 0.47 , -0.68 )
Новая точка: ( 0.76 , -0.735 )
Новая точка: ( 0.915 , -1.17 )
Новая точка: ( 1.045 , -1.505 )
Новая точка: ( 1.19 , -0.53 )
Новая точка: ( 1.35 , -0.62 )
Новая точка: ( 0.645 , -1.14 )
Новая точка: ( 0.475 , -0.55 )
Новая точка: ( 0.7 , -0.64 )
Новая точка: ( 1.16 , -1.035 )
Новая точка: ( 0.775 , -0.595 )
Новая точка: ( 0.61 , -1.21 )
Новая точка: ( 0.62 , -0.6 )
Новая точка: ( 1 , -0.995 )
Новая точка: ( 0.875 , -1.08 )
Новая точка: ( 1.14 , -1.495 )
Новая точка: ( 1.195 , -0.725 )
Новая точка: ( 0.83 , -0.625 )
Новая точка: ( 0.665 , -1.28 )
Новая точка: ( 0.41 , -1.145 )
Новая точка: ( 1.315 , -0.725 )
Новая точка: ( 0.765 , -1.135 )
Новая точка: ( 1.095 , -1.48 )
Новая точка: ( 1.31 , -1.05 )
Новая точка: ( 0.895 , -0.7 )
Новая точка: ( 1.14 , -1.485 )
Новая точка: ( 0.38 , -1.12 )
Новая точка: ( 0.875 , -1.29 )
Новая точка: ( 0.58 , -0.625 )
Новая точка: ( 0.86 , -1.32 )
Новая точка: ( 0.915 , -0.935 )
Новая точка: ( 1.235 , -0.78 )
Новая точка: ( 0.445 , -0.88 )
Новая точка: ( 0.915 , -0.715 )
Новая точка: ( 1.255 , -0.97 )
Новая точка: ( 0.46 , -1.335 )
Новая точка: ( 0.845 , -1.01 )
Новая точка: ( 1.035 , -0.765 )
Новая точка: ( 1.155 , -0.535 )
Новая точка: ( 0.885 , -1.41 )
Новая точка: ( 0.76 , -0.665 )
Новая точка: ( 0.75 , -0.935 )
Новая точка: ( 1.19 , -0.72 )
Новая точка: ( 0.9175 , -1.0975 )
Новая точка: ( 0.65 , -1.0825 )
Новая точка: ( 0.6875 , -0.78 )
Новая точка: ( 1.0125 , -0.925 )
Новая точка: ( 0.6825 , -0.92 )
Новая точка: ( 0.6275 , -1.0725 )
Новая точка: ( 0.9625 , -1.0925 )
Новая точка: ( 0.665 , -0.85 )
Новая точка: ( 0.81 , -0.8775 )
